11 million copies of the flyer were distributed to the public via an 85-newspaper distribution chain .	 were distributed	 11 million copies of the flyer	 to the public	 via an 85-number distribution chain
23.8 % of all households were made up of individuals and 13.0 % had someone living alone who was 65 years of age or older .	 were made up of 	 23.8 % of all households	 individuals
23.8 % of all households were made up of individuals and 13.0 % had someone living alone who was 65 years of age or older .	 had	 13 % of all households	 someone living alone who was 65 years of age or older
A British version of this show was developed , known as `` Gladiators : Train 2 Win '' .	 has	 this show	 A British version
A British version of this show was developed , known as `` Gladiators : Train 2 Win '' .	 was developed	 A British version of this show
A British version of this show was developed , known as `` Gladiators : Train 2 Win '' .	 was known as	 A British version of this show	 `` Gladiators : Train 2 Win ''
A better alternative in order to find the best possible results would be to use the Smith-Waterman algorithm .	 would be to use	 A better alternative in order to find the best possible results	 the Smith-Waterman algorithm
A character notes some practical difficulties with such a map and states that `` we now use the country itself , as its own map , and I assure you it does nearly as well . ''	 notes	 A character	 some practical difficulties with such a map
A character notes some practical difficulties with such a map and states that `` we now use the country itself , as its own map , and I assure you it does nearly as well . ''	 states that	 A character	 `` we now use the country itself , as its own map , and I assure you it does nearly as well . ''	 
A dam on the creek has created a lake covering for fishing , boating , and swimming .	 has created	 A dam on the creek	a lake covering 	for fishing
A dam on the creek has created a lake covering for fishing , boating , and swimming .	 has created	 A dam on the creek	a lake covering 	for boating
A dam on the creek has created a lake covering for fishing , boating , and swimming .	 has created	 A dam on the creek	a lake covering 	for swimming
A different judge then ordered the case reviewed by a higher court .	 ordered	 A different judge	 the case	 reviewed by a higher court
A different judge then ordered the case reviewed by a higher court .	 reviewed by	 the case 	a higher court
A large gravestone was erected in 1866 , over 100 years after his death .	was erected in	 A large gravestone	 1866	 over 100 years after his death
A number of rare and endemic plants are adapted to the unique limestone soils of the mountains , including the cliffdweller , bristlecone cryptantha , and Inyo rock daisy .	 are adapted to	 A number of rare and endemic plants 	 the unique limestone soils	 of the mountains
A number of rare and endemic plants are adapted to the unique limestone soils of the mountains , including the cliffdweller , bristlecone cryptantha , and Inyo rock daisy .	 is adapted to	 the cliffdweller	 the unique limestone soils	 of the mountains
A number of rare and endemic plants are adapted to the unique limestone soils of the mountains , including the cliffdweller , bristlecone cryptantha , and Inyo rock daisy .	 is adapted to	 bristlecone cryptantha	 the unique limestone soils	 of the mountains
A number of rare and endemic plants are adapted to the unique limestone soils of the mountains , including the cliffdweller , bristlecone cryptantha , and Inyo rock daisy .	 is adapted to	 Inyo rock daisy	 the unique limestone soils	 of the mountains
A number of rare and endemic plants are adapted to the unique limestone soils of the mountains , including the cliffdweller , bristlecone cryptantha , and Inyo rock daisy .	 is	 the cliffdweller	 rare and endemic plant
A number of rare and endemic plants are adapted to the unique limestone soils of the mountains , including the cliffdweller , bristlecone cryptantha , and Inyo rock daisy .	 is	 bristlecone cryptantha	 rare and endemic plant
